#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
295,528656,0,24,0,0,8,8,0.763712649979
296,530442,6,34,0,1,11,10,0.762908949979
297,532228,2,18,0,4,9,5,0.762105249978
298,534014,17,30,0,3,7,4,0.761301549978
299,535800,12,33,0,-7,22,29,0.760497849978
300,537586,0,34,0,1,25,24,0.759694149978
301,539372,16,31,0,0,7,7,0.758890449978
302,541158,0,18,0,-4,8,12,0.758086749978
303,542944,0,31,0,9,17,8,0.757283049978
304,544730,0,23,0,3,13,10,0.756479349978
305,546516,9,18,0,-3,6,9,0.755675649978
306,548302,17,28,0,-2,0,2,0.754871949978
307,550088,0,31,0,5,13,8,0.754068249978
308,551874,13,27,0,0,0,0,0.753264549978
309,553660,5,34,0,-1,5,6,0.752460849978
310,555446,17,30,0,2,13,11,0.751657149978
311,557232,0,24,0,0,0,0,0.750853449977
312,559018,2,34,0,0,1,1,0.750049749977
313,560804,11,26,0,0,3,3,0.749246049977
314,562590,5,25,0,-1,10,11,0.748442349977
315,564376,0,18,0,0,3,3,0.747638649977
316,566162,0,18,0,0,6,6,0.746834949977
317,567948,2,18,0,-1,6,7,0.746031249977
318,569734,16,18,0,-7,8,15,0.745227549977
319,571520,16,18,0,22,29,7,0.744423849977
320,573306,3,33,0,13,18,5,0.743620149977
321,575092,15,24,0,11,16,5,0.742816449977
322,576878,11,18,0,3,6,3,0.742012749977
323,578664,16,18,0,-1,2,3,0.741209049977
324,580450,15,25,0,-2,5,7,0.740405349977
325,582236,3,18,0,8,18,10,0.739601649976
326,584022,2,18,0,-10,8,18,0.738797949976
327,585808,15,35,0,-5,11,16,0.737994249976
328,587594,1,18,0,4,7,3,0.737190549976
329,589380,0,18,0,-5,4,9,0.736386849976
330,591166,0,18,0,0,6,6,0.735583149976
331,592952,2,28,0,8,12,4,0.734779449976
332,594738,13,25,0,10,12,2,0.733975749976
333,596524,0,31,0,-5,9,14,0.733172049976
334,598310,7,26,0,-3,4,7,0.732368349976
